Sorted by Name
Glen of Imaal Terrier,16kg
Norwegian Buhund,16kg
Nova Scotia Duck Tolling Retriever,16kg
Petit Basset Griffon Vendéen,16kg
Pumi,16kg
Swedish Vallhund,16kg
Cardigan Welsh Corgi,15kg
Cocker Spaniel,15kg
Danish-Swedish Farmdog,15kg
Drever,15kg
German Pinscher,15kg
Jindo,15kg
Mudi,15kg
Nederlandse Kooikerhondje,15kg
Peruvian Inca Orchid,15kg
Pyrenean Shepherd,15kg
Taiwan Dog,15kg
Whippet,15kg
Xoloitzcuintli,15kg
Carolina Dog,14kg
Cirneco dell'Etna,14kg
French Bulldog,14kg
Miniature American Shepherd,14kg
Miniature Bull Terrier,14kg
Puli,14kg
Shetland Sheepdog,14kg
Pembroke Welsh Corgi,13kg
Beagle,11kg
Boston Terrier,11kg
Dandie Dinmont Terrier,11kg
Lancashire Heeler,11kg
Teddy Roosevelt Terrier,11kg
Basenji,10kg
Jagdterrier,10kg
Norrbottenspets,10kg
Porcelaine,10kg
Portuguese Podengo,10kg
Scottish Terrier,10kg
Sealyham Terrier,10kg
Shiba Inu,10kg
Bedlington Terrier,9kg
Dachshund,9kg
Irish Terrier,9kg
Lakeland Terrier,9kg
Norwegian Lundehund,9kg
Welsh Terrier,9kg
Border Terrier,8kg
Cavalier King Charles Spaniel,8kg
Cesky Terrier,8kg
Parson Russell Terrier,8kg
Pug,8kg
Skye Terrier,8kg
Tibetan Terrier,8kg
Alaskan Klee Kai,7kg
American Hairless Terrier,7kg
Bolognese,7kg
German Spitz,7kg
Japanese Spitz,7kg
Löwchen,7kg
Manchester Terrier (Standard),7kg
Miniature Schnauzer,7kg
Pekingese,7kg
Poodle (Miniature),7kg
Russell Terrier,7kg
Schipperke,7kg
Shih Tzu,7kg
Silky Terrier,7kg
Smooth Fox Terrier,7kg
Tibetan Spaniel,7kg
West Highland White Terrier,7kg
Wire Fox Terrier,7kg
Australian Terrier,6kg
Cairn Terrier,6kg
Coton de Tulear,6kg
Kromfohrlander,6kg
Norfolk Terrier,6kg
Norwich Terrier,6kg
Portuguese Podengo Pequeno,6kg
Rat Terrier,6kg
Volpino Italiano,6kg
Affenpinscher,5kg
Bichon Frise,5kg
Chinese Crested,5kg
English Toy Spaniel,5kg
Havanese,5kg
Italian Greyhound,5kg
Manchester Terrier (Toy),5kg
Pomeranian,5kg
Russian Tsvetnaya Bolonka,5kg
Brussels Griffon,4kg
